DataName	IP_dataset	Input_dataset	BioCond	seq	Phase	Library	Mice	lane	Tissue	dataset
Am_ZT13_1	Am_ZT13_IP_1	Am_ZT13_Input_1	Liver_Am_T13	seq3	1	lib1	11	L005	Liver	dt2018
Am_ZT13_2	Am_ZT13_IP_2	Am_ZT13_Input_2	Liver_Am_T13	seq3	1	lib1	26	L002	Liver	dt2018
Am_ZT13_3	Am_ZT13_IP_3	Am_ZT13_Input_3	Liver_Am_T13	seq3	1	lib2	G9	L007	Liver	dt2018
Am_ZT13_4	Am_ZT13_IP_4	Am_ZT13_Input_4	Liver_Am_T13	seq4	1	lib1	G13	L007	Liver	dt2018
Am_ZT13_5	Am_ZT13_IP_5	Am_ZT13_Input_5	Liver_Am_T13	seq4	1	lib1	G14	L004	Liver	dt2018
Am_ZT13_6	Am_ZT13_IP_6	Am_ZT13_Input_6	Liver_Am_T13	seq2	1	lib2	16	L008	Liver	dt2018
Am_ZT13_7	Am_ZT13_IP_7	Am_ZT13_Input_7	Liver_Am_T13	seq2	1	lib2	21	L007	Liver	dt2018
CONV_ZT13_1	CONV_ZT13_IP_1	CONV_ZT13_Input_1	Liver_CONV_T13	seq2	1	lib2	C4	L006	Liver	dt2018
CONV_ZT13_2	CONV_ZT13_IP_2	CONV_ZT13_Input_2	Liver_CONV_T13	seq3	1	lib2	S11	L006	Liver	dt2018
CONV_ZT13_3	CONV_ZT13_IP_3	CONV_ZT13_Input_3	Liver_CONV_T13	seq3	1	lib2	S12	L007	Liver	dt2018
CONV_ZT13_4	CONV_ZT13_IP_4	CONV_ZT13_Input_4	Liver_CONV_T13	seq3	1	lib1	C1	L001	Liver	dt2018
CONV_ZT13_5	CONV_ZT13_IP_5	CONV_ZT13_Input_5	Liver_CONV_T13	seq3	1	lib1	C2	L001	Liver	dt2018
CONV_ZT13_6	CONV_ZT13_IP_6	CONV_ZT13_Input_6	Liver_CONV_T13	seq3	1	lib1	C3	L002	Liver	dt2018
GF_ZT13_1	GF_ZT13_IP_1	GF_ZT13_Input_1	Liver_GF_T13	seq3	1	lib1	51	L007	Liver	dt2018
GF_ZT13_2	GF_ZT13_IP_2	GF_ZT13_Input_2	Liver_GF_T13	seq3	1	lib1	56	L003	Liver	dt2018
GF_ZT13_3	GF_ZT13_IP_3	GF_ZT13_Input_3	Liver_GF_T13	seq3	1	lib1	61	L003	Liver	dt2018
